DOID	DIAGNOSIS_CD	category	detail
DOID:0080883	E55.0	E55	0
DOID:0081082	C92.5	C92	5
DOID:0081082	C92.50	C92	50
DOID:0081085	C92.0	C92	0
DOID:0081086	C92.0	C92	0
DOID:0081087	C92.0	C92	0
DOID:0081307	C83.8	C83	8
DOID:0081329	E74.01	E74	01
DOID:0090123	E70.81	E70	81
DOID:0090142	E72.19	E72	19
DOID:0110861	Q61.1	Q61	1
DOID:0111044	D69.1	D69	1
DOID:0111049	D69.1	D69	1
DOID:0111054	D68.03	D68	03
DOID:0111146	D68.04	D68	04
DOID:0111147	C86.5	C86	5
DOID:0111148	Q12.1	Q12	1
DOID:0111157	D47.Z2	D47	Z2
DOID:0111217	G71.228	G71	228
DOID:0111225	G71.220	G71	220
DOID:0111252	Q85.02	Q85	02
DOID:0111253	Q85.01	Q85	01
DOID:0111258	E74.89	E74	89
DOID:0111270	E72.19	E72	19
DOID:0111389	E76.02	E76	02
DOID:0111390	E76.01	E76	01
DOID:0111391	E76.210	E76	210
DOID:0111392	E76.211	E76	211
DOID:0111393	E76.22	E76	22
DOID:0111394	E76.22	E76	22
DOID:0111395	E76.22	E76	22
DOID:0111402	E76.22	E76	22
DOID:0111531	H47.03	H47	03
DOID:0111531	H47.039	H47	039
DOID:0111538	G71.19	G71	19
DOID:0111552	G12.1	G12	1
DOID:0111563	Q85.89	Q85	89
DOID:0111592	E88.02	E88	02
DOID:0111626	E72.59	E72	59
DOID:0111633	E74.31	E74	31
DOID:0111646	E73.0	E73	0
DOID:0111680	E74.11	E74	11
DOID:0111716	Q11.2	Q11	2
DOID:0112307	E72.59	E72	59
DOID:0112308	E22.8	E22	8
DOID:100	A00-A09	A00-A09	
DOID:10003	H90.5	H90	5
DOID:10016	E31.23	E31	23
DOID:10017	E31.21	E31	21
DOID:10020	C24.1	C24	1
DOID:10021	C17.0	C17	0
DOID:10024	G43.109	G43	109
DOID:10024	G43.1	G43	1
DOID:10027	A52.11	A52	11
DOID:1003	N73.9	N73	9
DOID:1003	N70-N77	N70-N77	
DOID:10030	J98.2	J98	2
DOID:10031	J98.3	J98	3
DOID:10033	H52.52	H52	52
DOID:10034	H52.5	H52	5
DOID:10035	A52.2	A52	2
DOID:10039	A50.4	A50	4
DOID:10039	A50.40	A50	40
DOID:10039	A50.59	A50	59
DOID:10039	A50.5	A50	5
DOID:10074	B71.0	B71	0
DOID:10075	B70.0	B70	0
DOID:10079	B69.9	B69	9
DOID:10079	B69	B69	
DOID:10080	B70.1	B70	1
DOID:10112	B56.9	B56	9
DOID:10112	B56	B56	
DOID:10113	B57.2	B57	2
DOID:10122	H02.71	H02	71
DOID:10124	H18.9	H18	9
DOID:10126	H18.60	H18	60
DOID:10126	H18.6	H18	6
DOID:10131	F52.5	F52	5
DOID:10138	H04.12	H04	12
DOID:10138	E50.7	E50	7
DOID:10139	H11.10	H11	10
DOID:10140	H04.12	H04	12
DOID:10149	C40.2	C40	2
DOID:10151	C40.3	C40	3
DOID:10153	C17.2	C17	2
DOID:10154	C17	C17	
DOID:10154	C17.9	C17	9
DOID:10155	C26.0	C26	0
DOID:10159	M87	M87	
DOID:10159	M87.9	M87	9
DOID:10174	H04.81	H04	81
DOID:10175	H46.0	H46	0
DOID:10175	H47.1	H47	1
DOID:10175	H47.10	H47	10
DOID:146	H46.0	H46	0
DOID:146	H47.1	H47	1
DOID:146	H47.10	H47	10
DOID:10175	H47.11	H47	11
DOID:10175	H35.81	H35	81
DOID:6929	H35.81	H35	81
DOID:10176	H30.9	H30	9
DOID:1022	A67.9	A67	9
DOID:1022	A67	A67	
DOID:1022	A67.0	A67	0
DOID:1022	A67.1	A67	1
DOID:1022	A67.2	A67	2
DOID:1022	A67.3	A67	3
DOID:10223	M33.90	M33	90
DOID:10223	M33.9	M33	9
DOID:10223	M33	M33	
DOID:1023	A30.3	A30	3
DOID:10230	I70.0	I70	0
DOID:10235	H50.61	H50	61
DOID:10236	F65.2	F65	2
DOID:1024	A30.9	A30	9
DOID:1024	A30	A30	
DOID:10241	D56.9	D56	9
DOID:10241	D56	D56	
DOID:10242	A77.40	A77	40
DOID:10242	A77.4	A77	4
DOID:1025	A30.1	A30	1
DOID:10250	A84.89	A84	89
DOID:10254	K82.4	K82	4
DOID:10261	H92.1	H92	1
DOID:10261	H92.10	H92	10
DOID:10264	B26.9	B26	9
DOID:10264	B26	B26	
DOID:10272	I44.60	I44	60
DOID:10283	C61	C61	
DOID:1029	G72.3	G72	3
DOID:10293	H50.01	H50	01
DOID:10300	I73.0	I73	0
DOID:10301	K11.2	K11	2
DOID:10303	K11.2	K11	2
DOID:10303	K11.20	K11	20
DOID:10310	A87.9	A87	9
DOID:10310	A87	A87	
DOID:10314	I33.9	I33	9
DOID:10316	J64	J64	
DOID:10320	J61	J61	
DOID:10322	J63.2	J63	2
DOID:10323	J66.0	J66	0
DOID:10324	J60	J60	
DOID:10325	J62.8	J62	8
DOID:10325	J62	J62	
DOID:10327	J60	J60	
DOID:10328	J63.4	J63	4
DOID:10329	J62.0	J62	0
DOID:10337	H47.23	H47	23
DOID:10341	G03.1	G03	1
DOID:10348	H02.52	H02	52
DOID:10349	N60.09	N60	09
DOID:10349	N60.0	N60	0
DOID:1035	C94.8	C94	8
DOID:10350	N60.0	N60	0
DOID:10352	N60.2	N60	2
DOID:10353	N60.3	N60	3
DOID:10354	N60	N60	
DOID:10354	N60.1	N60	1
DOID:10366	C63.0	C63	0
DOID:1037	C91	C91	
DOID:1037	C91.9	C91	9
DOID:1037	C91.90	C91	90
DOID:10371	A66.9	A66	9
DOID:10371	A66	A66	
DOID:10375	H53.03	H53	03
DOID:10376	H53.00	H53	00
DOID:10377	H53.02	H53	02
DOID:10378	H53.01	H53	01
DOID:10383	G54.5	G54	5
DOID:10393	M89.4	M89	4
DOID:10398	A20.2	A20	2
DOID:104	A49.9	A49	9
DOID:104	A49	A49	
DOID:1040	C91.1	C91	1
DOID:1040	C91.10	C91	10
DOID:10426	Q76.1	Q76	1
DOID:10428	H18.61	H18	61
DOID:10439	H16.05	H16	05
DOID:10440	H16.06	H16	06
DOID:10441	H16.04	H16	04
DOID:10442	H16.03	H16	03
DOID:10443	H20.05	H20	05
DOID:10444	H16.02	H16	02
DOID:10445	H16.07	H16	07
DOID:10456	J35.01	J35	01
DOID:10457	A48.1	A48	1
DOID:10459	J00	J00	
DOID:10460	J00	J00	
DOID:10460	J31.1	J31	1
DOID:10461	K02	K02	
DOID:10471	M76.50	M76	50
DOID:10471	M76.5	M76	5
DOID:10480	Q79.1	Q79	1
DOID:10481	J98.6	J98	6
DOID:10485	Q39.0	Q39	0
DOID:10486	Q41.1	Q41	1
DOID:10487	Q43.1	Q43	1
DOID:10488	Q42.3	Q42	3
DOID:10499	H05.11	H05	11
