NDC  NDC_format  NDC_10
00591374710	4-4-2	0591-3747-10
69784018014	5-3-2	69784-180-14
00093714656	4-4-2	0093-7146-56
68788459302	5-4-1	68788-4593-2
59762453802	5-4-1	59762-4538-2
08290309574	4-4-2	8290-3095-74
00193707025	4-4-2	0193-7070-25
54569658400	5-4-1	54569-6584-0
00002751017	4-4-2	0002-7510-17
54569127000	5-4-1	54569-1270-0
00169266015	4-4-2	0169-2660-15
00378245710	4-4-2	0378-2457-10
53885024450	5-3-2	53885-244-50
50924097110	5-3-2	50924-971-10
24478021030	5-3-2	24478-210-30
76439010450	5-3-2	76439-104-50
68308040547	5-3-2	68308-405-47
00409707426	4-4-2	0409-7074-26
00555913167	4-4-2	0555-9131-67
66530024940	5-3-2	66530-249-40
00378712477	4-4-2	0378-7124-77
68462024930	5-3-2	68462-249-30
55566211002	5-4-1	55566-2110-2
51672206602	5-4-1	51672-2066-2
66993072632	5-3-2	66993-726-32
00051846233	4-4-2	0051-8462-33
67544021945	5-3-2	67544-219-45
00169368712	4-4-2	0169-3687-12
52544024728	5-3-2	52544-247-28
00172572860	4-4-2	0172-5728-60
00169406013	4-4-2	0169-4060-13
45802059475	5-3-2	45802-594-75
63323054015	5-3-2	63323-540-15
00172742021	4-4-2	0172-7420-21
63874020448	5-3-2	63874-204-48
00904506260	4-4-2	0904-5062-60
69374096750	5-3-2	69374-967-50
00781520792	4-4-2	0781-5207-92
54569554801	5-4-1	54569-5548-1
20451057062	5-3-2	20451-570-62
68585000575	5-3-2	68585-005-75
58118997001	5-4-1	58118-9970-1
77333094010	5-3-2	77333-940-10
53885027210	5-3-2	53885-272-10
08290320122	4-4-2	8290-3201-22
42632001212	5-3-2	42632-012-12
67253042110	5-3-2	67253-421-10
00093754456	4-4-2	0093-7544-56
00603497528	4-4-2	0603-4975-28
63739015770	5-3-2	63739-157-70
53885000971	5-3-2	53885-009-71
68788898602	5-4-1	68788-8986-2
53885001185	5-3-2	53885-011-85
63739006010	5-3-2	63739-060-10
55513092491	5-3-2	55513-924-91
65702010110	5-3-2	65702-101-10
00002143480	4-4-2	0002-1434-80
66689006099	5-3-2	66689-060-99
63874106101	5-4-1	63874-1061-1
51991045757	5-3-2	51991-457-57
64720040210	5-3-2	64720-402-10
54838020940	5-3-2	54838-209-40
00228298311	4-4-2	0228-2983-11
00904583441	4-4-2	0904-5834-41
65702010610	5-3-2	65702-106-10
68645056854	5-3-2	68645-568-54
66993041730	5-3-2	66993-417-30
51079052420	5-3-2	51079-524-20
69452011132	5-3-2	69452-111-32
00143314250	4-4-2	0143-3142-50
00088110947	4-4-2	0088-1109-47
00002879959	4-4-2	0002-8799-59
63323031110	5-3-2	63323-311-10
76329191101	5-4-1	76329-1911-1
35664015410	5-3-2	35664-154-10
08290309623	4-4-2	8290-3096-23
63874071915	5-3-2	63874-719-15
67544014815	5-3-2	67544-148-15
68788991803	5-4-1	68788-9918-3
68115045460	5-3-2	68115-454-60
53329066030	5-3-2	53329-660-30
